starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:33:08 2021	1610209988	434	5103	5536	4600
Sat Jan 09 17:32:43 2021	1610209963	147	5389	5537	4885
Sat Jan 09 17:32:58 2021	1610209978	141	5399	5540	4911
Sat Jan 09 17:33:14 2021	1610209994	147	5393	5540	4403
Sat Jan 09 17:33:22 2021	1610210002	136	5408	5544	4905
Sat Jan 09 17:32:43 2021	1610209963	154	5390	5544	4861
Sat Jan 09 17:32:43 2021	1610209963	144	5404	5548	4920
Sat Jan 09 17:32:38 2021	1610209958	147	5408	5555	4920
Sat Jan 09 17:32:52 2021	1610209972	135	5420	5556	4915
Sat Jan 09 17:32:37 2021	1610209957	126	5430	5556	4937
Sat Jan 09 17:32:52 2021	1610209972	131	5430	5560	4904
Sat Jan 09 17:33:21 2021	1610210001	146	5416	5562	4916
Sat Jan 09 17:33:10 2021	1610209990	125	5439	5564	4934
Sat Jan 09 17:33:04 2021	1610209984	132	5437	5569	4941
Sat Jan 09 17:33:05 2021	1610209985	138	5432	5570	4943
Sat Jan 09 17:33:15 2021	1610209995	151	5427	5579	4921
Sat Jan 09 17:33:01 2021	1610209981	142	5438	5580	4937
Sat Jan 09 17:32:48 2021	1610209968	154	5428	5582	4938
Sat Jan 09 17:33:09 2021	1610209989	131	5458	5589	4681
Sat Jan 09 17:33:20 2021	1610210000	140	5451	5591	4938
Sat Jan 09 17:33:05 2021	1610209985	133	5460	5593	4967
Sat Jan 09 17:33:06 2021	1610209986	145	5449	5594	4947
Sat Jan 09 17:32:29 2021	1610209949	619	4976	5595	4468
Sat Jan 09 17:32:48 2021	1610209968	136	5459	5595	4943
Sat Jan 09 17:32:48 2021	1610209968	139	5457	5596	5134
Sat Jan 09 17:32:54 2021	1610209974	159	5440	5599	4940
Sat Jan 09 17:32:53 2021	1610209973	142	5459	5602	4954
Sat Jan 09 17:32:54 2021	1610209974	152	5450	5602	4935
Sat Jan 09 17:33:03 2021	1610209983	149	5456	5605	4962
Sat Jan 09 17:33:01 2021	1610209981	165	5440	5605	4929
Sat Jan 09 17:33:11 2021	1610209991	141	5466	5607	4956
Sat Jan 09 17:33:08 2021	1610209988	155	5452	5608	4946
Sat Jan 09 17:32:34 2021	1610209954	133	5477	5610	4965
Sat Jan 09 17:32:37 2021	1610209957	160	5452	5612	4960
Sat Jan 09 17:32:42 2021	1610209962	139	5476	5615	4966
Sat Jan 09 17:33:18 2021	1610209998	136	5479	5615	4983
Sat Jan 09 17:33:09 2021	1610209989	145	5475	5619	4747
Sat Jan 09 17:32:54 2021	1610209974	143	5478	5621	4972
Sat Jan 09 17:33:16 2021	1610209996	131	5491	5621	4989
Sat Jan 09 17:33:16 2021	1610209996	149	5472	5622	4980
Sat Jan 09 17:32:59 2021	1610209979	150	5473	5623	4971
Sat Jan 09 17:32:59 2021	1610209979	133	5494	5627	4990
Sat Jan 09 17:32:53 2021	1610209973	142	5484	5627	4983
Sat Jan 09 17:32:58 2021	1610209978	138	5489	5628	4971
Sat Jan 09 17:32:36 2021	1610209956	134	5494	5628	4988
Sat Jan 09 17:32:48 2021	1610209968	138	5491	5630	5164
Sat Jan 09 17:32:34 2021	1610209954	178	5455	5632	4909
Sat Jan 09 17:32:38 2021	1610209958	150	5485	5635	5000
Sat Jan 09 17:33:03 2021	1610209983	142	5493	5635	5223
Sat Jan 09 17:33:16 2021	1610209996	126	5516	5642	5029
Sat Jan 09 17:32:29 2021	1610209949	624	5022	5647	4503
Sat Jan 09 17:32:48 2021	1610209968	127	5522	5649	5015
Sat Jan 09 17:32:53 2021	1610209973	141	5511	5652	5016
Sat Jan 09 17:32:48 2021	1610209968	125	5528	5653	5001
Sat Jan 09 17:33:22 2021	1610210002	139	5514	5654	5030
Sat Jan 09 17:33:04 2021	1610209984	135	5521	5656	5029
Sat Jan 09 17:33:09 2021	1610209989	146	5513	5659	4751
Sat Jan 09 17:33:22 2021	1610210002	136	5526	5662	5012
Sat Jan 09 17:32:37 2021	1610209957	133	5534	5667	5035
Sat Jan 09 17:32:48 2021	1610209968	137	5534	5671	5161
Sat Jan 09 17:33:22 2021	1610210002	159	5512	5671	5014
Sat Jan 09 17:32:29 2021	1610209949	622	5051	5673	4552
Sat Jan 09 17:33:03 2021	1610209983	147	5531	5678	5030
Sat Jan 09 17:32:59 2021	1610209979	126	5554	5679	5048
Sat Jan 09 17:33:01 2021	1610209981	163	5520	5683	5027
Sat Jan 09 17:33:04 2021	1610209984	147	5540	5686	5033
Sat Jan 09 17:32:43 2021	1610209963	134	5553	5687	5034
Sat Jan 09 17:32:59 2021	1610209979	136	5552	5688	5062
Sat Jan 09 17:32:42 2021	1610209962	128	5565	5693	5073
Sat Jan 09 17:32:42 2021	1610209962	131	5563	5695	5049
Sat Jan 09 17:32:33 2021	1610209953	138	5560	5698	5069
Sat Jan 09 17:32:54 2021	1610209974	142	5557	5699	5042
Sat Jan 09 17:33:21 2021	1610210001	143	5561	5703	5046
Sat Jan 09 17:33:08 2021	1610209988	158	5547	5705	5051
Sat Jan 09 17:32:48 2021	1610209968	134	5571	5705	5191
Sat Jan 09 17:33:04 2021	1610209984	156	5549	5706	5054
Sat Jan 09 17:33:23 2021	1610210003	141	5569	5710	5078
Sat Jan 09 17:33:20 2021	1610210000	139	5571	5710	5060
Sat Jan 09 17:32:53 2021	1610209973	135	5580	5715	5078
Sat Jan 09 17:32:57 2021	1610209977	141	5586	5727	5075
Sat Jan 09 17:33:03 2021	1610209983	149	5583	5731	5079
Sat Jan 09 17:32:49 2021	1610209969	132	5609	5740	5101
Sat Jan 09 17:32:29 2021	1610209949	622	5124	5746	4637
Sat Jan 09 17:32:42 2021	1610209962	149	5600	5749	5099
Sat Jan 09 17:32:59 2021	1610209979	148	5602	5750	5116
Sat Jan 09 17:32:34 2021	1610209954	131	5620	5751	5111
Sat Jan 09 17:32:48 2021	1610209968	154	5601	5754	5098
Sat Jan 09 17:33:08 2021	1610209988	136	5622	5759	5108
Sat Jan 09 17:33:03 2021	1610209983	135	5627	5762	5224
Sat Jan 09 17:33:09 2021	1610209989	134	5631	5765	5310
Sat Jan 09 17:33:03 2021	1610209983	135	5631	5766	5138
Sat Jan 09 17:33:17 2021	1610209997	141	5627	5768	5128
Sat Jan 09 17:32:43 2021	1610209963	141	5630	5771	5126
Sat Jan 09 17:32:47 2021	1610209967	155	5621	5776	4725
Sat Jan 09 17:33:01 2021	1610209981	163	5615	5778	5127
Sat Jan 09 17:32:34 2021	1610209954	146	5633	5779	5141
Sat Jan 09 17:33:01 2021	1610209981	125	5658	5783	5144
Sat Jan 09 17:32:41 2021	1610209961	144	5645	5789	5134
Sat Jan 09 17:32:56 2021	1610209976	141	5649	5790	5252
Sat Jan 09 17:33:21 2021	1610210001	146	5648	5794	5148
Sat Jan 09 17:33:17 2021	1610209997	127	5668	5795	5163
Sat Jan 09 17:32:37 2021	1610209957	140	5659	5799	5162
Sat Jan 09 17:33:01 2021	1610209981	158	5645	5803	5119
Sat Jan 09 17:33:11 2021	1610209991	142	5663	5805	5140
Sat Jan 09 17:32:47 2021	1610209967	135	5670	5806	4742
Sat Jan 09 17:32:44 2021	1610209964	132	5676	5808	5150
Sat Jan 09 17:32:48 2021	1610209968	155	5655	5810	5166
Sat Jan 09 17:32:56 2021	1610209976	142	5685	5827	5197
Sat Jan 09 17:33:18 2021	1610209998	144	5686	5830	5185
Sat Jan 09 17:32:29 2021	1610209949	625	5206	5831	4671
Sat Jan 09 17:33:08 2021	1610209988	140	5692	5832	5203
Sat Jan 09 17:33:04 2021	1610209984	144	5694	5837	5194
Sat Jan 09 17:32:48 2021	1610209968	134	5707	5841	5190
Sat Jan 09 17:33:11 2021	1610209991	131	5710	5842	5207
Sat Jan 09 17:32:53 2021	1610209973	140	5707	5847	5205
Sat Jan 09 17:32:58 2021	1610209978	158	5691	5849	5169
Sat Jan 09 17:32:54 2021	1610209974	137	5719	5856	5236
Sat Jan 09 17:32:53 2021	1610209973	140	5719	5860	5212
Sat Jan 09 17:32:31 2021	1610209951	167	5695	5862	4941
Sat Jan 09 17:33:21 2021	1610210001	142	5723	5865	5236
Sat Jan 09 17:33:22 2021	1610210002	135	5740	5875	5255
Sat Jan 09 17:32:47 2021	1610209967	154	5722	5877	4756
Sat Jan 09 17:33:18 2021	1610209998	173	5706	5878	5207
Sat Jan 09 17:32:36 2021	1610209956	147	5736	5883	5231
Sat Jan 09 17:32:43 2021	1610209963	132	5757	5888	5251
Sat Jan 09 17:32:36 2021	1610209956	125	5764	5889	5261
Sat Jan 09 17:32:42 2021	1610209962	130	5761	5891	5245
Sat Jan 09 17:32:59 2021	1610209979	138	5765	5903	5258
Sat Jan 09 17:32:29 2021	1610209949	621	5288	5909	4762
Sat Jan 09 17:32:32 2021	1610209952	146	5770	5916	5257
Sat Jan 09 17:32:37 2021	1610209957	127	5794	5921	5284
Sat Jan 09 17:33:14 2021	1610209994	426	5496	5922	5005
Sat Jan 09 17:33:09 2021	1610209989	145	5779	5924	5052
Sat Jan 09 17:33:22 2021	1610210002	146	5784	5929	5285
Sat Jan 09 17:33:18 2021	1610209998	131	5805	5937	5302
Sat Jan 09 17:32:46 2021	1610209966	131	5808	5939	5292
Sat Jan 09 17:32:54 2021	1610209974	125	5823	5947	5318
Sat Jan 09 17:32:41 2021	1610209961	154	5794	5947	5298
Sat Jan 09 17:32:46 2021	1610209966	138	5812	5950	5307
Sat Jan 09 17:33:04 2021	1610209984	144	5807	5950	5300
Sat Jan 09 17:32:54 2021	1610209974	153	5797	5950	5275
Sat Jan 09 17:33:12 2021	1610209992	130	5821	5951	5305
Sat Jan 09 17:32:29 2021	1610209949	624	5333	5957	4766
Sat Jan 09 17:33:14 2021	1610209994	416	5545	5961	5025
Sat Jan 09 17:32:47 2021	1610209967	164	5805	5969	4808
Sat Jan 09 17:33:03 2021	1610209983	155	5818	5973	5328
